Date,Adj Close,Close,High,Low,Open,Volume,Return,Log Return,20-day Volatility,RSI-14,MACD,MACD Signal,MACD Histogram,ATR-14,Volume Change,Volume MA-20
2022-02-01,17576.849609375,17576.849609375,17622.400390625,17244.55078125,17529.44921875,386400.0,0.0136679386118703,0.0135753748226512,0.0104728463716971,39.09210698407304,-117.23688505560494,-45.52013370120383,-71.71675135440111,292.97474888392856,0.2011190550202051,281070.0
2022-02-02,17780.0,17780.0,17794.599609375,17674.80078125,17706.19921875,271200.0,0.0115578385853996,0.011491556994747,0.0105478455511823,40.35688117116827,-88.39417506475729,-54.09494197391453,-34.29923309084276,296.22837611607144,-0.2981366459627329,282260.0
2022-02-03,17560.19921875,17560.19921875,17781.150390625,17511.150390625,17767.75,226600.0,-0.0123622486642295,-0.0124392969118211,0.0107663240865456,35.563488445035105,-82.32323468657341,-59.74060051644631,-22.582634170127108,307.76771763392856,-0.1644542772861357,281015.0
2022-02-04,17516.30078125,17516.30078125,17617.80078125,17462.55078125,17590.19921875,261400.0,-0.0024998826581151,-0.0025030125821506,0.0105638168279986,34.95800456109403,-80.13051305481713,-63.81858302412048,-16.31193003069665,306.90708705357144,0.1535745807590467,282260.0
2022-02-07,17213.599609375,17213.599609375,17536.75,17119.400390625,17456.30078125,265000.0,-0.0172811129276234,-0.0174321742274954,0.0111389704780187,29.793603288501075,-101.6465025464022,-71.38416692857683,-30.26233561782536,330.0891462053572,0.0137719969395562,283545.0
2022-02-08,17266.75,17266.75,17306.44921875,17043.650390625,17279.849609375,268500.0,0.0030876976246183,0.0030829404762161,0.0108202427461809,33.5119231536121,-113.10547736834268,-79.72842901653001,-33.377048351812675,329.92843191964283,0.0132075471698114,285350.0
2022-02-09,17463.80078125,17463.80078125,17477.150390625,17339.0,17370.099609375,236400.0,0.0114121523303458,0.0113475249468573,0.0111853490449579,40.833608079265645,-105.07520469472728,-84.79778415216947,-20.27742054255782,327.5071149553572,-0.1195530726256983,286160.0
2022-02-10,17605.849609375,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600.0,0.008133901085124,0.00810099920504,0.0111598904770313,47.03562883862106,-86.25471184138223,-85.08916969001203,-1.1655421513702038,321.58203125,0.1573604060913704,287590.0
2022-02-11,17374.75,17374.75,17454.75,17303.0,17451.0,253100.0,-0.0131262969128136,-0.0132132081342731,0.0113998639844135,45.410302513463,-88.96164825296364,-85.86366540260236,-3.0979828503612765,323.8462611607143,-0.0749269005847953,285060.0
2022-02-14,16842.80078125,16842.80078125,17099.5,16809.650390625,17076.150390625,305500.0,-0.0306162228952934,-0.0310946906967536,0.0130035296454654,44.33744597419761,-132.50335493436796,-95.19160330895548,-37.31175162541248,319.97474888392856,0.2070327933623073,288860.0
