Date,Adj Close,Close,High,Low,Open,Volume,Return,Log Return,20-day Volatility,RSI-14,MACD,MACD Signal,MACD Histogram,ATR-14,Volume Change,Volume MA-20
2022-01-03,17625.69921875,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500.0,,,,,0.0,0.0,0.0,,,
2022-01-04,17805.25,17805.25,17827.599609375,17593.55078125,17681.400390625,247400.0,0.01018687423526421,0.01013533773365083,,,14.323139245014318,2.8646278490028636,11.458511396011454,,0.23391521197007492,
2022-01-05,17925.25,17925.25,17944.69921875,17748.849609375,17820.099609375,251500.0,0.0067395852346920915,0.006716975758933995,,,34.95439490141871,9.282581259486033,25.671813641932676,,0.016572352465642703,
2022-01-06,17745.900390625,17745.900390625,17797.94921875,17655.55078125,17768.5,236500.0,-0.010005417462796928,-0.01005580805311726,,,36.413052062122006,14.708675420013229,21.704376642108777,,-0.05964214711729621,
2022-01-07,17812.69921875,17812.69921875,17905.0,17704.55078125,17797.599609375,239300.0,0.003764183651131514,0.0037571168401497185,,,42.4695925135311,20.260858838716807,22.20873367481429,,0.01183932346723049,
2022-01-10,18003.30078125,18003.30078125,18017.44921875,17879.150390625,17913.30078125,232400.0,0.010700318921871732,0.010643475643964555,,,61.93544437701712,28.59577594637687,33.339668430640245,,-0.028834099456748863,
2022-01-11,18055.75,18055.75,18081.25,17964.400390625,17997.75,220200.0,0.002913311252602302,0.0029090757855369247,,,80.66463414895406,39.00954758689231,41.655086562061754,,-0.05249569707401036,
2022-01-12,18212.349609375,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000.0,0.008673115731830494,0.008635720331115329,,,106.91152222071469,52.58994251365679,54.3215797070579,,0.11262488646684843,
2022-01-13,18257.80078125,18257.80078125,18272.25,18163.80078125,18257.0,303700.0,0.0024956237305924223,0.002492514833041471,,,129.88269299949025,68.04849261082347,61.83420038866677,,0.23959183673469386,
2022-01-14,18255.75,18255.75,18286.94921875,18119.650390625,18185.0,229500.0,-0.00011232356375068253,-0.00011232987251458901,,,146.23630928771308,83.6860559462014,62.55025334151168,,-0.24432005268356927,
2022-01-17,18308.099609375,18308.099609375,18321.55078125,18228.75,18235.650390625,266700.0,0.0028675682661627455,0.0028634646353713476,,,161.5584981897373,99.26054439490858,62.297953794828715,,0.16209150326797395,
2022-01-18,18113.05078125,18113.05078125,18350.94921875,18085.900390625,18337.19921875,227500.0,-0.010653690567923424,-0.010710847446216868,,,156.16248898118283,110.64093331216344,45.52155566901939,,-0.14698162729658792,
2022-01-19,17938.400390625,17938.400390625,18129.19921875,17884.900390625,18129.19921875,276700.0,-0.00964224043394124,-0.009689027834056424,,,136.222992041643,115.75734505805936,20.465646983583653,,0.2162637362637363,
2022-01-20,17757.0,17757.0,17943.69921875,17648.44921875,17921.0,258100.0,-0.010112406160797005,-0.010163883876396832,,54.11265792738583,104.57779385349932,113.52143481714735,-8.943640963648036,202.16727120535714,-0.067220816769064,
2022-01-21,17617.150390625,17617.150390625,17707.599609375,17485.849609375,17613.69921875,277600.0,-0.007875745304668613,-0.00790692279190989,,49.753799320290376,67.43668348411302,104.3044845505405,-36.867801066427475,202.72446986607142,0.07555211158465713,
2022-01-24,17149.099609375,17149.099609375,17599.400390625,16997.849609375,17575.150390625,323800.0,-0.02656790518738339,-0.02692721026213864,,33.79595821423645,0.23162946554657537,83.48991353354171,-83.25828406799513,230.24246651785714,0.1664265129682998,
2022-01-25,17277.94921875,17277.94921875,17309.150390625,16836.80078125,17001.55078125,326500.0,0.007513491221694313,0.0074854055398087425,,34.08407225842144,-42.14594121955088,58.36274258292319,-100.50868380247407,249.99246651785714,0.008338480543545357,
